,ID,acq-AP_run-01,acq-PA_run-01,acq-AP_run-02,acq-PA_run-02
0,010001,35.236946106,34.0000152588,37.1161460876,38.0962257385
1,010002,38.2978134155,42.1337356567,38.8524971008,37.4001426697
2,010004,35.5433807373,36.7345695496,35.0289840698,34.7406349182
3,010005,44.886806488,49.6337814331,44.6530227661,46.9307022095
4,010006,34.8771018982,31.7548789978,42.1817932129,38.8919792175
5,010007,40.2372665405,36.1069412231,39.194694519,37.7331771851
6,010008,43.727268219,47.025478363,49.3984603882,42.5431098938
7,010009,39.3377304077,37.3533821106,39.9220924377,38.134223938
8,010011,47.2784423828,41.4749946594,42.5268630981,37.4428863525
9,010014,42.1635131836,33.9841766357,40.211517334,34.1385231018
10,010015,42.998790741,29.8148212433,31.6957874298,33.477973938
11,010016,33.373966217,30.8137187958,36.585723877,29.8186225891
12,010017,43.4501571655,42.505695343,43.7592048645,40.0623550415
13,010018,36.8042106628,42.5711631775,42.2677001953,36.2721290588
14,010020,51.379486084,38.1588172913,40.6680297852,44.3470954895
15,010021,37.4115867615,38.1928253174,43.1073646545,41.8142127991
16,010022,41.5280609131,40.0627174377,44.3315429688,38.2788314819
17,010023,50.9050979614,44.1183319092,50.7605705261,45.9205589294
18,010024,34.946647644,33.4083709717,41.1502227783,32.8969535828
19,010026,38.3640289307,31.6404037476,36.0303955078,33.490020752
20,010027,44.449180603,44.091293335,48.7630233765,42.1477355957
21,010029,35.7704658508,37.76978302,42.5963745117,
22,010030,41.310092926,37.3182296753,45.9232788086,42.1828651428
23,010031,41.3488998413,36.9889945984,43.500919342,37.2669677734
24,010032,37.8449745178,44.425491333,49.9026565552,47.2601470947
25,010033,39.2394561768,39.7574081421,45.6881561279,37.4570770264
26,010034,34.5063476562,39.5680084229,41.1735458374,35.8617630005
27,010035,46.7811737061,44.5044670105,46.861656189,41.5125389099
28,010036,37.1540260315,33.1162719727,35.2413597107,40.3816642761
29,010037,38.016292572,32.650642395,39.8157920837,27.4639511108
30,010038,35.7066459656,31.7061576843,36.3617401123,22.9971733093
31,010040,41.9501533508,35.4354400635,42.0572967529,36.1113357544
32,010041,40.5296478271,35.9041938782,39.9207611084,32.6582946777
33,010042,36.8920593262,32.8295478821,37.68126297,34.8924293518
34,010044,42.9648399353,39.0779685974,44.8435287476,40.5381317139
35,010045,40.7804107666,35.2472457886,33.605140686,33.1299667358
36,010046,37.7365188599,37.9513015747,35.9226951599,35.8899116516
37,010048,34.365447998,33.4337539673,35.7160797119,29.1416873932
38,010050,34.6449661255,30.7569046021,37.2068939209,26.9466075897
39,010051,35.1616134644,33.0598983765,32.61302948,32.3561859131
40,010052,42.8391418457,38.3273582458,39.7592468262,35.1429901123
41,010054,39.6419677734,37.3538970947,40.7896728516,31.7616729736
42,010056,39.2147331238,32.756061554,33.878112793,32.6422080994
43,010058,37.6320419312,33.5320587158,38.4235572815,36.6627502441
44,010059,31.8988876343,31.7201843262,33.9963035583,30.5228443146
45,010060,30.8241214752,31.7795333862,33.145198822,29.0234527588
46,010061,39.7861099243,39.5278167725,45.1776008606,39.0597686768
47,010062,45.8867607117,40.7412490845,48.8736190796,39.0670433044
48,010064,30.192943573,32.3256378174,33.133605957,32.0988845825
49,010065,27.6152973175,29.6549987793,31.1546764374,27.3470306396
50,010067,39.3759651184,37.1220932007,43.2072715759,41.6303825378
51,010068,36.2404823303,36.6094360352,37.209564209,36.8285827637
52,010069,38.9690856934,34.4993934631,36.0360717773,37.844909668
53,010071,49.1872634888,37.7917060852,36.9272689819,39.7013397217
54,010072,35.5954818726,33.290271759,43.2468109131,42.810798645
55,010073,40.5309867859,36.6616325378,46.8232154846,34.0964736938
56,010074,44.9202728271,41.7218322754,47.4167633057,38.5752105713
